iter,wall_time_global,dx_global,du_global,eps_x_global,eps_u_global,obj_global
1,0.088308300008066,257.0486335306998,41127.78136491196,2.607902909174738,411.3152302229874,960915498.1500001
2,0.17376920000242535,3.1622776601683795,40051.63839940337,2.6085641775653565,637.732213359647,960894746.1968751
3,0.25979609999922104,1.4142135623730951,40099.52098910121,2.6089530795390083,970.3797338046727,960888886.8218751
4,0.34435350001149345,28.106938645110393,40205.85778301203,2.6174553332665202,1325.7815712884126,960883515.7281251
5,0.4297198000131175,46.08687448721165,34501.114707181274,2.677530207785795,1533.7321608456334,960908906.3531251
6,0.5145973000035156,103.31505214633539,64828.01427302891,2.8170928140079465,1640.948744372049,960987031.3531251
7,0.6003681000001961,74.72616676907762,70518.8464821435,2.978776803421406,1985.8141484335417,960946992.2906251
8,0.6855529000022216,81.59656855530139,51785.2232062848,3.1260408630942553,2166.930286850494,960813447.3687501
9,0.7714088000066113,99.74968671630002,45216.89059577387,3.179613257718068,2408.3849284795842,960649384.8687501
10,0.8562147000047844,76.66811592833099,28019.27420116675,3.335749486112954,2582.694295518848,960489961.0406251
11,0.9415929000097094,62.94441992742486,21476.908099649158,3.542755359206469,2750.1067935583014,960362763.7750001
12,1.0273019000014756,45.78209256903839,21437.686765038638,3.7773630975495953,2907.388755431448,960275849.7125001
13,1.1120216000126675,36.90528417449187,24058.05339841921,3.9822613109898484,3089.1432486396034,960227509.8687501
14,1.1975910000037402,37.255872020394314,19538.199805568554,4.108558919696487,3248.9483930362762,960205781.3531251
15,1.2823306000063894,34.698703145794944,12398.213728681169,4.2278342141513425,3341.255350984523,960196015.7281251
16,1.3677575000037905,27.892651361962706,13694.955703628752,4.395397757856491,3388.539039474739,960197236.4312501
17,1.452753000005032,325.69310708088375,57541.49570598084,4.473360667293625,3622.009893649399,960230195.4156251
18,1.537397799998871,141.9013742005341,35721.75817710021,4.55458382780023,3763.1311309808057,960246308.6968751
19,1.6223914000001969,144.2844412956574,24967.416548739384,4.052986271930519,3922.359113582673,960317353.6187501
20,1.7089242000074591,91.53141537199127,18849.742959708557,3.9955474458829636,4049.653232189962,960396455.1812501
21,1.8095411000103923,96.69539802906858,17830.014838385665,4.021660542301399,4143.528343513963,960475312.6031251
22,1.9834712000010768,83.34266614405853,17173.4575017071,4.501652230729953,4226.697609472027,960531709.0875001
23,2.074923200008925,76.78541528180986,43652.302572210116,5.16746530657974,4291.342382306951,960579316.5093751
24,2.1609112000005553,75.19308478842984,27712.105940650854,5.837416573867739,4312.44814742148,961246002.3375001
25,2.2463342000119155,91.84770002564028,14535.119534415828,5.837416573867739,4288.239515840865,962345385.6812501
26,2.3323032000043895,46.475800154489,12500.001379413705,5.837416573867739,4260.407223645917,963522019.0562501
27,2.4194142000051215,30.199337741083,8109.376181553697,5.837416573867739,4259.989521176494,964708662.1968751
28,2.5052051000093343,21.095023109728988,7613.009118789406,5.837416573867739,4272.418805469794,965831971.3218751
29,2.5909043999999994,50.774009099144415,6091.859602173356,5.837416573867739,4279.437401343551,966966999.1968751
30,2.6771950000111246,46.08687448721165,6993.117213389117,5.837416573867739,4277.231650887577,968091040.7437501
31,2.7626359999994747,25.612496949731394,6383.123449950947,5.837416573867739,4272.346773108055,969360793.2906251
32,2.8478835000132676,24.20743687382041,5201.280643932629,5.837416573867739,4270.571296591363,971258270.7593751
33,2.8478835000132676,47.53945729601885,5032.19424692386,5.837416573867739,4270.571296591363,974335657.0250001
34,2.8478835000132676,142.5833089811006,12933.470199336884,5.837416573867739,4270.571296591363,977549375.3531251
35,2.8478835000132676,71.28814768248647,13137.718780281528,5.837416573867739,4270.571296591363,979703606.8531251
36,2.8478835000132676,98.30564581955606,16125.341531162187,5.837416573867739,4270.571296591363,980309400.0718751
37,2.8478835000132676,29.189039038652847,13419.046384466788,5.837416573867739,4270.571296591363,980925792.9312501
38,2.8478835000132676,23.021728866442675,14076.575802455618,5.837416573867739,4270.571296591363,981394521.6656251
39,2.8478835000132676,11.313708498984761,13275.210894966334,5.837416573867739,4270.571296591363,981664459.2906251
40,2.8478835000132676,312.3587680856742,25255.23114511708,5.837416573867739,4270.571296591363,984802067.9625001
41,2.8478835000132676,156.1473662922305,27318.756443407652,5.837416573867739,4270.571296591363,989010210.4312501
42,2.8478835000132676,57.706152185014034,20586.40782957379,5.837416573867739,4270.571296591363,993488595.3062501
43,2.8478835000132676,49.26459174701441,12424.559473918765,5.837416573867739,4270.571296591363,997057700.4781251
44,2.8478835000132676,56.39148871948674,9096.96247927827,6.15523481242305,4270.571296591363,1000154170.6656251
45,2.8478835000132676,68.17624219623724,12816.60594762664,6.469476896967952,4270.571296591363,1002930552.8062501
46,2.8478835000132676,55.46169849544819,12808.000516188755,6.727476364332994,4270.571296591363,1005166571.4156251
47,2.8478835000132676,58.88972745734183,8138.081952210651,6.727476364332994,4270.571296591363,1005159735.4781251
48,2.8478835000132676,15.684387141358123,4699.574854164189,6.727476364332994,4270.571296591363,1005154120.2437501
49,2.8478835000132676,12.96148139681572,11053.825426317038,6.727476364332994,4270.571296591363,1005163397.5875001
50,2.8478835000132676,6.6332495807108,5599.518429946398,6.727476364332994,4270.571296591363,1005162421.0250001
51,2.8478835000132676,3.4641016151377544,3337.4842837859474,6.727476364332994,4270.571296591363,1005159491.3375001
52,2.8478835000132676,34.66987164671943,4561.54021379348,6.727476364332994,4270.571296591363,1005162421.0250001
53,2.8478835000132676,15.748015748023622,3778.425671460615,6.727476364332994,4270.571296591363,1005162909.3062501
54,2.8478835000132676,9.899494936611665,3432.0313914817607,6.727476364332994,4270.571296591363,1005157294.0718751
55,2.8478835000132676,6.164414002968976,3753.246992839297,6.727476364332994,4270.571296591363,1005152167.1187501
56,2.8478835000132676,6.164414002968976,2715.1434051719866,6.727476364332994,4270.571296591363,1005144598.7593751
57,2.8478835000132676,194.0,4738.5975312319515,5.837416573867739,4270.571296591363,1017196534.5093751
58,2.8478835000132676,97.0,15615.951036021288,5.837416573867739,4270.571296591363,1023213713.3218751
59,2.8478835000132676,48.0,15481.521265310184,5.837416573867739,4270.571296591363,1026189292.9468751
60,2.8478835000132676,24.0,11632.309091536641,5.837416573867739,4270.571296591363,1027671467.5250001
61,2.8705658000108087,12.0,7744.050671482775,5.837416573867739,4270.571296591363,1028409258.9156251
62,2.9154082000022754,12.409673645990857,4871.514597945421,5.837416573867739,4270.571296591363,1028774370.4312501
63,2.9599052000121446,174.9857137025763,13055.453351556094,5.837416573867739,4270.571296591363,1029064470.1343751
64,3.0044003000075463,86.4175908018732,15405.212858208744,5.837416573867739,4270.571296591363,1029235083.4781251
