iter,wall_time_global,dx_global,du_global,eps_x_global,eps_u_global,obj_global
1,0.10607979999986128,257.0447431868623,41306.03829950289,2.6078640057363627,413.0977995688967,960922334.0875001
2,0.1728187999997317,25.337718918639855,27770.80481368878,2.621715318208262,675.6063915867824,960874238.3843751
3,0.2597219999997833,31.080540535840107,24605.7208795028,2.6690700464966874,914.1825636922015,960803437.6031251
4,0.3453351999996812,48.228622207149975,27252.886544364435,2.6997088192833325,1141.1612973379151,960765595.8062501
5,0.42984119999982795,33.166247903554,40989.56204785555,2.7662991290540195,1374.6677989119253,960698701.2750001
6,0.5145992999996452,27.640549922170507,41500.7284812874,2.768423714100075,1701.2204414318462,960673066.5093751
7,0.5992747000000236,26.68332812825267,39668.21358918624,2.8510974370787756,2085.0693125861594,960606171.9781251
8,0.6830484000001888,26.0,33361.15844847248,2.846864918294097,2412.777014267075,960605439.5562501
9,0.769518899999639,18.0,28621.064718649806,2.912064378382233,2674.081362697428,960576875.1031251
10,0.8544854000001578,26.758176320519304,25222.69846336268,3.0039296785075957,2902.207829141438,961688465.4781251
11,0.9391883999996935,29.478805945967352,23540.730903088617,2.9501815832703175,3107.147588550678,963554245.6187501
12,1.0238027000004877,44.181444068749045,22239.57937287842,2.9792527351792426,3299.290037065086,970469026.3375001
13,1.1088047000002916,61.68468205316454,19330.26763785124,3.083036379424566,3471.003227826472,980475699.2125001
14,1.1938427000004594,74.5385806143369,20216.97718386615,3.090153051194271,3647.822654016378,992760830.2125001
15,1.278895100000227,60.76183012385325,17471.83985497768,3.3076459236228906,3796.7440080213923,1000422720.6187501
16,1.363865899999837,77.08436936240706,16832.709339217225,3.5631505400086905,3934.302543208095,1007708065.8531251
17,1.4485223000001497,66.30987860040162,15144.533744629844,3.9762742762987373,4051.6550139454553,1014225732.9468751
18,1.5358560000004218,70.3846574190711,14025.488744206172,4.479825830115975,4149.072077907372,1020550509.2593751
19,1.623193700000229,78.61297602813418,14187.844677678415,5.026885483481267,4224.3617889875995,1027190389.2125001
20,1.709285799999634,75.23961722390672,13246.508309160221,5.523672127521798,4280.662209556928,1034000984.1031251
21,1.7960036000004038,60.58052492344384,11972.482668058768,5.635746682033924,4322.357683719778,1038342243.8531251
22,1.882573400000183,42.42640687119285,12459.827757370549,5.837416573867739,4346.793757250658,1040955621.9625001
23,1.9682628999998997,46.88283267892417,12017.572578131836,5.856737840132388,4347.253652957612,1043688099.7437501
24,2.054602199999863,49.193495504995376,10465.7711119041,6.029953599201835,4331.224996237886,1048223613.5250001
25,2.141127800000504,50.75431016179808,10907.968830131991,6.240899466566002,4308.355198639315,1052432935.7437501
26,2.229059600000255,51.146847410177685,10102.02517997903,6.404064043297785,4286.3826712203145,1057109765.9937501
27,2.314124399999855,60.41522986797286,10611.709304785953,6.728410520958112,4272.655312430123,1063158501.1656251
28,2.399796300000162,63.34824385884742,9572.283633960846,7.0962195885438115,4326.353540101869,1069946879.2593751
29,2.4859206000000995,47.82258880487337,9839.077904333235,7.388729381795314,4380.500710797895,1075888823.384375
30,2.5718637999998464,44.78839135311738,9344.574582002746,7.569069778842064,4439.128028143706,1080966653.821875
31,2.657122000000527,47.43416490252569,9817.926716459317,7.668681213493338,4500.754333312862,1086593392.7125
32,2.743233400000463,66.0,9542.959725007246,7.766193967479229,4564.892198232635,1093164913.290625
33,2.829157600000144,73.92563831310488,9117.634932050658,7.920861252433069,4623.28747915401,1100211998.540625
34,2.913761499999964,78.61933604400383,9481.940729618595,8.185348826899794,4683.781406795013,1108208260.009375
35,2.9984973999999056,77.1167945391923,11100.36035451102,8.540892333814375,4742.952322120382,1116604789.24375
36,3.0869926000004853,77.1621668954417,11815.139652158157,8.991281661080077,4793.2702974588665,1125745111.790625
37,3.1728374000003896,79.61783719745218,12092.179290764754,9.511549779602184,4845.5851855752535,1135639969.8375
38,3.260342800000217,75.70336848516055,12529.229824693935,10.06478412472574,4888.128331975195,1145525062.259375
39,3.260342800000217,68.74590896918885,12682.964953038387,10.587426052536468,4927.610273557186,1154803039.165625
40,3.260342800000217,46.850827100489916,12844.173776463786,10.920807589539281,4965.564113850837,1161421780.478125
41,3.260342800000217,34.61213659975356,11204.927487494062,11.003637436133829,5004.014521022411,1164148744.61875
42,3.260342800000217,36.30426972134269,7962.970551245307,10.902986048129087,5043.079363690611,1163877830.43125
43,3.260342800000217,39.35733730830886,5779.779948233324,10.681217586663873,5082.044560975802,1161224454.2125
44,3.260342800000217,40.0374824383352,5085.692284795158,10.405251449096028,5120.957008612638,1157207229.7125
45,3.260342800000217,35.749125863438955,5350.947731568359,10.145403514896106,5145.261209509348,1157788776.715625
46,3.260342800000217,29.68164415931166,5397.2478034294045,9.946447808050019,5152.938713097374,1161752798.203125
47,3.260342800000217,23.748684174075834,5094.668376423187,9.833267736477346,5147.996246589771,1167343854.328125
48,3.260342800000217,18.841443681416774,4427.689919456635,9.806060287301044,5144.958579264926,1170027484.165625
49,3.260342800000217,18.920887928424502,3591.124099540925,9.853372971488911,5147.058738779927,1170837785.321875
50,3.260342800000217,19.974984355438178,3274.6383698491713,9.95340870778959,5149.017372252291,1172670362.3375
51,3.260342800000217,15.329709716755891,2741.656863148073,10.04002623335161,5150.7810398015245,1174640837.853125
