iter,wall_time_global,dx_global,du_global,eps_x_global,eps_u_global,obj_global
1,0.1332587000069907,257.0447431868623,41127.15890989797,2.6078640057363627,411.30900567284743,960922334.0875001
2,0.23411039999336936,3.1622776601683795,24020.158200977778,2.6081752167589776,624.1922691545394,960905000.1031251
3,0.3064362000004621,24.289915602982237,35964.74349971094,2.624190626621478,873.5590920347576,960844941.5093751
4,0.37398400000529364,31.304951684997057,36102.0256530018,2.6602394805848513,1204.5115453433486,960788056.7437501
5,0.4340812000009464,34.813790371058424,35981.81201250327,2.7465492764129658,1551.4471062417235,960718964.9468751
6,0.4933212000032654,19.949937343260004,30764.164587588217,2.7737645049612984,1847.9374832106557,960720185.6500001
7,0.5706388999969931,22.315913604421397,26599.334563715744,2.852270033641445,2112.9750265463003,960694550.8843751
8,0.6358919000049355,22.181073012818835,22162.054011305256,2.798793042225504,2331.3789052671746,960735566.5093751
9,0.6831976999965264,19.79898987322333,17390.195244016093,2.8216220260569274,2488.85852893045,960712129.0093751
10,0.7401034000067739,16.73320053068151,18061.015997983963,2.888276093381109,2653.361916101421,960696748.1500001
11,0.7987926000059815,27.85677655436824,21697.530266560134,2.8002050203471294,2845.77220348027,961408945.7281251
12,0.848467999996501,45.58508528016593,20537.361192900305,2.6795369344872175,3032.0720194301684,962944770.6031251
13,0.9323736999940593,36.02776706930364,19745.171011761115,2.6538263277098246,3187.694439287883,966490784.0093751
14,0.991712600007304,59.06775770248944,19323.26854005095,2.6360315896020823,3351.7066311817507,975668641.9937501
15,1.0489495000074385,70.79548008171143,25614.851160996426,2.7736548675841326,3521.313913749776,986273498.7750001
16,1.1418810000031954,57.09640969448079,18720.811737792974,3.005041887144333,3648.355431554043,995492677.1656251
17,1.2320175000058953,61.26989472816156,18499.09815456846,3.2651092482095825,3807.5082735315686,1003982446.8531251
18,1.2817293999978574,85.67379996241559,19243.797771342837,3.7759991929895906,3931.737825199942,1010092420.3687501
19,1.3339726999984123,68.96375859826666,15833.581119665201,4.33588141611084,4035.9125809120205,1014973901.1031251
20,1.4330342000030214,83.06021911842033,15936.936272827896,4.752138198735956,4134.556702388146,1022564279.5718751
