rank,iter,final_obj_local,time_comm,time_comp,wall_time,msg_send_cnt,msg_recv_cnt,bytes_send,bytes_recv
0,69,294468518.35937506,1.6232469999522436,1.5916983999777585,3.616352500001085,504,436,30744,26596
1,71,72689238.33125001,1.680487899982836,1.788834599981783,3.503679999994347,518,476,31598,29036
2,68,127743050.9375,1.0925041001028148,2.470779799958109,3.5971744999988005,497,476,30317,29036
3,74,51355683.84375,1.5897192000120413,1.7593324000190478,3.383337599996594,539,459,32879,27999
4,69,222137041.65625,1.2872013000014704,2.0366582999995444,3.572774999993271,504,441,30744,26901
5,49,162386280.95000002,0.18118189999950118,3.40623280001455,3.62083210000128,364,499,22204,30439
6,73,156802301.0625,1.6040167000028305,1.762941499982844,3.485121199992136,532,447,32452,27267
7,61,94799796.5875,0.7685949000297114,2.591431999957422,3.394090799993137,448,473,27328,28853
