rank,iter,obj_local
4,52,222137041.65625
4,53,222137041.65625
4,54,222137041.65625
4,55,222137041.65625
4,56,222137041.65625
4,57,222137041.65625
4,58,222137041.65625
4,59,222137041.65625
4,60,222137041.65625
4,61,222137041.65625
4,62,222137041.65625
4,63,222137041.65625
4,64,222137041.65625
4,65,222137041.65625
4,66,222137041.65625
4,67,222137041.65625
4,68,222137041.65625
4,69,222137041.65625
5,1,161856007.51250002
5,2,161851124.70000002
5,3,161854542.66875002
5,4,161855030.95000002
5,5,161857228.21562502
5,6,161855519.23125002
5,7,161859425.48125002
5,8,161847462.59062502
5,9,161830372.74687502
5,10,161836964.54375002
5,11,161838185.24687502
5,12,161858448.91875002
5,13,161896534.85625002
5,14,161935597.35625002
5,15,161989308.29375002
5,16,162033253.60625002
5,17,162087941.10625002
5,18,162164601.26250002
5,19,162219532.90312502
5,20,162261769.23125002
5,21,162318165.71562502
5,22,162378468.45000002
5,23,162386280.95000002
5,24,162386280.95000002
5,25,162386280.95000002
5,26,162386280.95000002
5,27,162386280.95000002
5,28,162386280.95000002
5,29,162386280.95000002
5,30,162386280.95000002
5,31,162386280.95000002
5,32,162386280.95000002
5,33,162386280.95000002
5,34,162386280.95000002
5,35,162386280.95000002
5,36,162386280.95000002
5,37,162386280.95000002
5,38,162386280.95000002
5,39,162386280.95000002
5,40,162386280.95000002
5,41,162386280.95000002
5,42,162386280.95000002
5,43,162386280.95000002
5,44,162386280.95000002
5,45,162386280.95000002
5,46,162386280.95000002
5,47,162386280.95000002
5,48,162386280.95000002
5,49,162386280.95000002
6,1,156514459.265625
6,2,156512262.0
6,3,156504937.78125
6,4,156494195.59375
6,5,156483697.546875
6,6,156472955.359375
6,7,156461969.03125
6,8,156469537.390625
6,9,156469537.390625
6,10,156466119.421875
6,11,156476373.328125
6,12,156490777.625
6,13,156497857.703125
6,14,156507623.328125
6,15,156514215.125
6,16,156517633.09375
6,17,156526422.15625
6,18,156529595.984375
6,19,156530328.40625
6,20,156538629.1875
6,21,156548394.8125
6,22,156565240.515625
6,23,156586724.890625
6,24,156610162.390625
6,25,156633111.609375
6,26,156668756.140625
6,27,156700738.5625
6,28,156740045.203125
6,29,156774957.3125
6,30,156802301.0625
6,31,156802301.0625
6,32,156802301.0625
6,33,156802301.0625
6,34,156802301.0625
6,35,156802301.0625
6,36,156802301.0625
6,37,156802301.0625
6,38,156802301.0625
6,39,156802301.0625
6,40,156802301.0625
6,41,156802301.0625
6,42,156802301.0625
6,43,156802301.0625
6,44,156802301.0625
6,45,156802301.0625
6,46,156802301.0625
6,47,156802301.0625
6,48,156802301.0625
6,49,156802301.0625
6,50,156802301.0625
6,51,156802301.0625
6,52,156802301.0625
6,53,156802301.0625
6,54,156802301.0625
6,55,156802301.0625
6,56,156802301.0625
6,57,156802301.0625
6,58,156802301.0625
6,59,156802301.0625
6,60,156802301.0625
6,61,156802301.0625
6,62,156802301.0625
6,63,156802301.0625
6,64,156802301.0625
6,65,156802301.0625
6,66,156802301.0625
6,67,156802301.0625
6,68,156802301.0625
6,69,156802301.0625
6,70,156802301.0625
6,71,156802301.0625
6,72,156802301.0625
6,73,156802301.0625
7,1,94604972.36875
7,2,94603995.80625
7,3,94598624.7125
7,4,94592277.05625
7,5,94585685.259375
7,6,94582999.7125
7,7,94578116.9
7,8,94584464.55625
7,9,94583976.275
7,10,94585929.4
7,11,94595206.74375
7,12,94607413.775
7,13,94608390.3375
7,14,94612052.446875
7,15,94614737.99375
7,16,94612540.728125
7,17,94612296.5875
7,18,94609122.759375
7,19,94606925.49375
7,20,94603995.80625
7,21,94606437.2125
7,22,94603751.665625
7,23,94600089.55625
7,24,94598380.571875
7,25,94590812.2125
7,26,94591300.49375
7,27,94592277.05625
7,28,94603263.384375
7,29,94606681.353125
7,30,94604239.946875
7,31,94604484.0875
7,32,94607413.775
7,33,94616202.8375
7,34,94622550.49375
7,35,94635001.665625
7,36,94650870.80625
7,37,94667228.228125
7,38,94685782.915625
7,39,94714591.509375
7,40,94740714.55625
7,41,94763907.915625
7,42,94788321.978125
7,43,94799796.5875
7,44,94799796.5875
7,45,94799796.5875
7,46,94799796.5875
7,47,94799796.5875
7,48,94799796.5875
7,49,94799796.5875
7,50,94799796.5875
7,51,94799796.5875
7,52,94799796.5875
7,53,94799796.5875
7,54,94799796.5875
7,55,94799796.5875
7,56,94799796.5875
7,57,94799796.5875
7,58,94799796.5875
7,59,94799796.5875
7,60,94799796.5875
7,61,94799796.5875
